ride_id,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
0,11,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5504,Subscriber,1988,Male,27,3/4/2018
1,8,3,Powell St BART Station (Market St at 4th St),93,4th St at Mission Bay Blvd S,2915,Subscriber,1988,Male,27,3/27/2017
2,11,15,San Francisco Ferry Building (Harry Bridges Plaza),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5340,Customer,1988,Male,26,6/30/2019
3,7,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,746,Subscriber,1969,Male,27,11/16/2018
4,11,81,Berry St at 4th St,21,Montgomery St BART Station (Market St at 2nd St),5477,Subscriber,1986,Male,26,11/1/2017
5,5,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,223,Subscriber,1963,Male,27,5/3/2018
8,2,81,Berry St at 4th St,80,Townsend St at 5th St,3624,Subscriber,1995,Male,27,7/18/2018
9,3,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,4606,Subscriber,1967,Male,26,9/6/2017
10,4,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),36,Folsom St at 3rd St,4741,Subscriber,1983,Male,27,6/11/2017
11,9,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,530,Customer,1991,Male,26,3/12/2017
13,5,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5276,Subscriber,1981,Female,27,4/14/2017
15,31,15,San Francisco Ferry Building (Harry Bridges Plaza),15,San Francisco Ferry Building (Harry Bridges Plaza),5011,Customer,1983,Female,26,1/25/2017
16,4,81,Berry St at 4th St,92,Mission Bay Kids Park,236,Subscriber,1978,Female,26,4/19/2019
18,4,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5312,Subscriber,1984,Male,26,7/13/2017
21,4,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,4762,Subscriber,1993,Male,26,2/14/2017
22,5,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5487,Subscriber,1987,Male,27,1/6/2019
24,8,16,Steuart St at Market St,49,S Park St at 3rd St,5458,Subscriber,1979,Female,26,6/12/2019
25,11,15,San Francisco Ferry Building (Harry Bridges Plaza),91,Berry St at King St,4597,Subscriber,1974,Male,26,3/1/2019
26,3,16,Steuart St at Market St,24,Spear St at Folsom St,4757,Subscriber,1988,Male,26,6/15/2017
29,68,3,Powell St BART Station (Market St at 4th St),371,Lombard St at Columbus Ave,4658,Subscriber,1988,Male,26,7/25/2017
31,17,22,Howard St at Beale St,356,Valencia St at Clinton Park,5325,Subscriber,1995,Male,26,5/30/2019
