,illiteracy,fertility
0,9.5,1.769
1,49.2,2.682
2,1.0,2.077
3,11.2,2.132
4,9.8,1.827
5,60.0,3.872
6,50.2,2.288
7,51.2,5.173
8,0.6,1.393
9,1.0,1.262
10,8.5,2.156
11,6.1,3.026
12,9.8,2.033
13,1.0,1.324
14,42.2,2.816
15,77.2,5.211
16,18.7,2.1
17,22.8,1.781
18,8.5,1.822
19,43.9,5.908
20,1.0,1.881
21,1.0,1.852
22,1.5,1.39
23,10.8,2.281
24,11.9,2.505
25,3.4,1.224
26,0.4,1.361
27,3.1,1.468
28,6.6,2.404
29,33.7,5.52
30,40.4,4.058
31,2.3,2.223
32,17.2,4.859
33,0.7,1.267
34,36.1,2.342
35,1.0,1.579
36,33.2,6.254
37,55.9,2.334
38,30.8,3.961
39,87.4,6.505
40,15.4,2.53
41,54.6,2.823
42,5.1,2.498
43,1.1,2.248
44,10.2,2.508
45,19.8,3.04
46,0.0,1.854
47,40.7,4.22
48,57.2,5.1
49,59.9,4.967
50,3.1,1.325
51,55.7,4.514
52,22.8,3.173
53,10.9,2.308
54,34.7,4.62
55,32.2,4.541
56,43.0,5.637
57,1.3,1.926
58,1.0,1.747
59,0.5,2.294
60,78.4,5.841
61,34.2,5.455
62,84.9,7.069
63,29.1,2.859
64,31.3,4.018
65,18.3,2.513
66,81.8,5.405
67,39.0,5.737
68,11.2,3.363
69,67.0,4.89
70,4.1,1.385
71,0.2,1.505
72,78.1,6.081
73,1.0,1.784
74,7.1,1.378
75,1.0,1.45
76,29.0,1.841
77,1.1,1.37
78,11.7,2.612
79,73.6,5.329
80,33.9,5.33
81,14.0,3.371
82,0.3,1.281
83,1.0,1.871
84,0.8,2.153
85,71.9,5.378
86,40.1,4.45
87,1.0,1.46
88,2.1,1.436
89,3.8,1.612
90,16.5,3.19
91,4.1,2.752
92,0.5,3.35
93,44.4,4.01
94,46.3,4.166
95,18.7,2.642
96,6.5,2.977
97,36.8,3.415
98,18.6,2.295
99,11.1,3.019
100,22.1,2.683
101,71.1,5.165
102,1.0,1.849
103,0.0,1.836
104,0.9,2.518
105,0.7,2.43
106,45.5,4.528
107,8.4,1.263
108,0.0,1.885
109,3.8,1.943
110,8.5,1.899
111,2.0,1.442
112,1.0,1.953
113,58.9,4.697
114,0.3,1.582
115,1.0,2.025
116,14.0,1.841
117,47.0,5.011
118,4.1,1.212
119,2.2,1.502
120,7.2,2.516
121,0.3,1.367
122,1.5,2.089
123,50.5,4.388
124,1.3,1.854
125,0.6,1.748
126,19.1,2.978
127,6.9,2.152
128,9.2,2.362
129,2.2,1.988
130,0.2,1.426
131,12.3,3.29
132,4.9,3.264
133,4.6,1.436
134,0.3,1.393
135,16.5,2.822
136,65.7,4.969
137,63.5,5.659
138,16.8,3.24
139,0.2,1.693
140,1.8,1.647
141,9.6,2.36
142,15.2,1.792
143,14.4,3.45
144,3.3,1.516
145,10.6,2.233
146,61.3,2.563
147,10.9,5.283
148,32.2,3.885
149,9.3,0.966
150,11.6,2.373
151,20.7,2.663
152,6.5,1.251
153,6.7,2.052
154,3.5,3.371
155,1.0,2.093
156,1.6,2.0
157,20.5,3.883
158,1.5,3.852
159,16.7,3.718
160,2.0,1.732
161,0.9,3.928
